endpoint_name,endpoint_type,rank_in_stage2_window,feature_name,family,family_cap_group,family_cap_applies,family_count_before,decision,ranking_metric
Binarized_response,binary,1,nonconventional_T__curated_gene_gdt_ifn_response__pc1,signature::nonconventional_T::curated_gene_gdt_ifn_response,signature::nonconventional_T::curated_gene_gdt_ifn_response,True,0,keep_within_family_cap,0.09013095238095248
Binarized_response,binary,2,nonconventional_T__curated_gene_gdt_ifn_response__eigengene,signature::nonconventional_T::curated_gene_gdt_ifn_response,signature::nonconventional_T::curated_gene_gdt_ifn_response,True,1,keep_within_family_cap,0.09013095238095248
Binarized_response,binary,3,Monocyte__curated_gene_mono_ifn_core__singscore,signature::Monocyte::curated_gene_mono_ifn_core,signature::Monocyte::curated_gene_mono_ifn_core,True,0,keep_within_family_cap,0.0816309523809523
Binarized_response,binary,4,Monocyte__curated_gene_mono_ifn_core__pc1,signature::Monocyte::curated_gene_mono_ifn_core,signature::Monocyte::curated_gene_mono_ifn_core,True,1,keep_within_family_cap,0.06544047619047633
Binarized_response,binary,5,Monocyte__curated_gene_mono_ifn_core__eigengene,signature::Monocyte::curated_gene_mono_ifn_core,signature::Monocyte::curated_gene_mono_ifn_core,True,2,drop_by_family_cap,0.06544047619047633
Binarized_response,binary,6,Monocyte__curated_gene_gobp_regulation_of_monocyte_chemotaxis__pc2,signature::Monocyte::curated_gene_gobp_regulation_of_monocyte_chemotaxis,signature::Monocyte::curated_gene_gobp_regulation_of_monocyte_chemotaxis,True,0,keep_within_family_cap,0.062345238095237954
Binarized_response,binary,7,nonconventional_T__curated_gene_gdt_ifn_response__ssgsea2_es,signature::nonconventional_T::curated_gene_gdt_ifn_response,signature::nonconventional_T::curated_gene_gdt_ifn_response,True,2,drop_by_family_cap,0.057916666666666505
Binarized_response,binary,8,CD4T__curated_gene_cd4_ifn_response__singscore,signature::CD4T::curated_gene_cd4_ifn_response,signature::CD4T::curated_gene_cd4_ifn_response,True,0,keep_within_family_cap,0.05670238095238089
Binarized_response,binary,9,Monocyte__curated_gene_gobp_cytokine_production_involved_in_inflammatory_response__ssgsea2_es,signature::Monocyte::curated_gene_gobp_cytokine_production_involved_in_inflammatory_response,signature::Monocyte::curated_gene_gobp_cytokine_production_involved_in_inflammatory_response,True,0,keep_within_family_cap,0.055988095238095226
Binarized_response,binary,10,nonconventional_T__curated_gene_gdt_ifn_response__singscore,signature::nonconventional_T::curated_gene_gdt_ifn_response,signature::nonconventional_T::curated_gene_gdt_ifn_response,True,2,drop_by_family_cap,0.05346428571428574
Binarized_response,binary,11,NK__curated_gene_gobp_positive_regulation_of_type_ii_interferon_production__pc2,signature::NK::curated_gene_gobp_positive_regulation_of_type_ii_interferon_production,signature::NK::curated_gene_gobp_positive_regulation_of_type_ii_interferon_production,True,0,keep_within_family_cap,0.051488095238095166
Binarized_response,binary,12,NK__curated_gene_gobp_positive_regulation_of_natural_killer_cell_mediated_immunity__pc2,signature::NK::curated_gene_gobp_positive_regulation_of_natural_killer_cell_mediated_immunity,signature::NK::curated_gene_gobp_positive_regulation_of_natural_killer_cell_mediated_immunity,True,0,keep_within_family_cap,0.05122619047619037
Binarized_response,binary,13,NK__curated_gene_nk_cytotoxicity__pc2,signature::NK::curated_gene_nk_cytotoxicity,signature::NK::curated_gene_nk_cytotoxicity,True,0,keep_within_family_cap,0.04991666666666672
Binarized_response,binary,14,NK__curated_gene_nk_adaptive_fcgr3a__pc2,signature::NK::curated_gene_nk_adaptive_fcgr3a,signature::NK::curated_gene_nk_adaptive_fcgr3a,True,0,keep_within_family_cap,0.04774999999999985
Binarized_response,binary,15,NK__curated_gene_nk_ifng_response__pc1,signature::NK::curated_gene_nk_ifng_response,signature::NK::curated_gene_nk_ifng_response,True,0,keep_within_family_cap,0.04760714285714285
Binarized_response,binary,16,NK__curated_gene_nk_ifng_response__eigengene,signature::NK::curated_gene_nk_ifng_response,signature::NK::curated_gene_nk_ifng_response,True,1,keep_within_family_cap,0.04760714285714285
Binarized_response,binary,17,CD4T__curated_gene_cd4_ifn_response__pc1,signature::CD4T::curated_gene_cd4_ifn_response,signature::CD4T::curated_gene_cd4_ifn_response,True,1,keep_within_family_cap,0.04582142857142868
Binarized_response,binary,18,CD4T__curated_gene_cd4_ifn_response__eigengene,signature::CD4T::curated_gene_cd4_ifn_response,signature::CD4T::curated_gene_cd4_ifn_response,True,2,drop_by_family_cap,0.04582142857142868
Binarized_response,binary,19,Monocyte__curated_gene_mono_ifn_core__ssgsea2_es,signature::Monocyte::curated_gene_mono_ifn_core,signature::Monocyte::curated_gene_mono_ifn_core,True,2,drop_by_family_cap,0.04394047619047614
Binarized_response,binary,20,CD4T__curated_gene_cd4_th1_helper__singscore,signature::CD4T::curated_gene_cd4_th1_helper,signature::CD4T::curated_gene_cd4_th1_helper,True,0,keep_within_family_cap,0.04208333333333325
Binarized_response,binary,21,CD8T__curated_gene_cd8_ifn_response__singscore,signature::CD8T::curated_gene_cd8_ifn_response,signature::CD8T::curated_gene_cd8_ifn_response,True,0,keep_within_family_cap,0.04086904761904764
Binarized_response,binary,22,nonconventional_T__curated_gene_gdt_terminal_nklike__singscore,signature::nonconventional_T::curated_gene_gdt_terminal_nklike,signature::nonconventional_T::curated_gene_gdt_terminal_nklike,True,0,keep_within_family_cap,0.04022619047619058
Binarized_response,binary,23,CD4T__curated_gene_hallmark_interferon_alpha_response__singscore,signature::CD4T::curated_gene_hallmark_interferon_alpha_response,signature::CD4T::curated_gene_hallmark_interferon_alpha_response,True,0,keep_within_family_cap,0.03989285714285706
Binarized_response,binary,24,Monocyte__curated_gene_hallmark_interferon_alpha_response__singscore,signature::Monocyte::curated_gene_hallmark_interferon_alpha_response,signature::Monocyte::curated_gene_hallmark_interferon_alpha_response,True,0,keep_within_family_cap,0.03898809523809532
Binarized_response,binary,25,NK__curated_gene_hallmark_interferon_alpha_response__singscore,signature::NK::curated_gene_hallmark_interferon_alpha_response,signature::NK::curated_gene_hallmark_interferon_alpha_response,True,0,keep_within_family_cap,0.03898809523809532
Binarized_response,binary,26,NK__curated_gene_gobp_natural_killer_cell_chemotaxis__pc2,signature::NK::curated_gene_gobp_natural_killer_cell_chemotaxis,signature::NK::curated_gene_gobp_natural_killer_cell_chemotaxis,True,0,keep_within_family_cap,0.03889285714285706
Binarized_response,binary,27,CD4T__curated_gene_cd4_cytotoxic__ssgsea2_es,signature::CD4T::curated_gene_cd4_cytotoxic,signature::CD4T::curated_gene_cd4_cytotoxic,True,0,keep_within_family_cap,0.03698809523809532
Binarized_response,binary,28,CD4T__curated_gene_cd4_cytotoxic__pc1,signature::CD4T::curated_gene_cd4_cytotoxic,signature::CD4T::curated_gene_cd4_cytotoxic,True,1,keep_within_family_cap,0.03667857142857145
Binarized_response,binary,29,CD4T__curated_gene_cd4_cytotoxic__eigengene,signature::CD4T::curated_gene_cd4_cytotoxic,signature::CD4T::curated_gene_cd4_cytotoxic,True,2,drop_by_family_cap,0.03667857142857145
Binarized_response,binary,30,CD4T__denovo_gene_mp4__singscore,file::CD4T,,False,,keep_no_family_cap,0.03644047619047619
Binarized_response,binary,31,NK__curated_gene_nk_cytotoxicity__pc1,signature::NK::curated_gene_nk_cytotoxicity,signature::NK::curated_gene_nk_cytotoxicity,True,1,keep_within_family_cap,0.03636904761904769
Binarized_response,binary,32,NK__curated_gene_nk_cytotoxicity__eigengene,signature::NK::curated_gene_nk_cytotoxicity,signature::NK::curated_gene_nk_cytotoxicity,True,2,drop_by_family_cap,0.03636904761904769
Binarized_response,binary,33,CD8T__cellrank_cr_b3_pseudotime_q75,cellrank::CD8T,,False,,keep_no_family_cap,0.03463095238095237
Binarized_response,binary,34,CD4T__curated_gene_cd4_ifn_response__ssgsea2_es,signature::CD4T::curated_gene_cd4_ifn_response,signature::CD4T::curated_gene_cd4_ifn_response,True,2,drop_by_family_cap,0.0345833333333333
Binarized_response,binary,35,CD8T__curated_gene_cd8_dysfunction_exhaustion__ssgsea2_es,signature::CD8T::curated_gene_cd8_dysfunction_exhaustion,signature::CD8T::curated_gene_cd8_dysfunction_exhaustion,True,0,keep_within_family_cap,0.031130952380952204
Binarized_response,binary,36,NK__Centroid_iqr_score,centroid::NK,,False,,keep_no_family_cap,0.030928571428571416
