analysis_block,endpoint,feature_set,feature,raw_feature,coef,abs_coef,feature_scope
primary,Binarized_response,clinical_only,cat__sex_M,sex,-8.869582176208496,8.869582176208496,clinical
primary,Binarized_response,clinical_only,cat__egfr_status_Wild-Type,egfr_status,8.847870826721191,8.847870826721191,clinical
primary,Binarized_response,clinical_only,cat__smoking_Never,smoking,-5.191012859344482,5.191012859344482,clinical
primary,Binarized_response,clinical_only,cat__previous_target_Yes,previous_target,4.949654579162598,4.949654579162598,clinical
primary,Binarized_response,clinical_only,cat__ecog_2,ecog,-3.6248550415039062,3.6248550415039062,clinical
primary,Binarized_response,clinical_only,cat__ecog_1,ecog,-3.006340742111206,3.006340742111206,clinical
primary,Binarized_response,clinical_only,cat__io_line_≥2nd line,io_line,-2.616060495376587,2.616060495376587,clinical
primary,Binarized_response,clinical_only,cat__histology_LUSC,histology,-1.565011739730835,1.565011739730835,clinical
primary,Binarized_response,clinical_only,cat__histology_others,histology,1.4987852573394775,1.4987852573394775,clinical
primary,Binarized_response,clinical_only,cat__smoking_Ex,smoking,-0.7972428202629089,0.7972428202629089,clinical
primary,Binarized_response,clinical_only,num__age,age,0.24447637796401978,0.24447637796401978,clinical
primary,Binarized_response,clinical_plus_bio_sbp,cat__egfr_status_Wild-Type,egfr_status,12.016247749328613,12.016247749328613,clinical
primary,Binarized_response,clinical_plus_bio_sbp,cat__sex_M,sex,-10.512446403503418,10.512446403503418,clinical
primary,Binarized_response,clinical_plus_bio_sbp,cat__previous_target_Yes,previous_target,7.354638576507568,7.354638576507568,clinical
primary,Binarized_response,clinical_plus_bio_sbp,cat__smoking_Never,smoking,-5.250707149505615,5.250707149505615,clinical
primary,Binarized_response,clinical_plus_bio_sbp,cat__io_line_≥2nd line,io_line,-4.237170219421387,4.237170219421387,clinical
primary,Binarized_response,clinical_plus_bio_sbp,cat__ecog_2,ecog,-3.4608471393585205,3.4608471393585205,clinical
primary,Binarized_response,clinical_plus_bio_sbp,cat__ecog_1,ecog,-3.0632312297821045,3.0632312297821045,clinical
primary,Binarized_response,clinical_plus_bio_sbp,cat__histology_LUSC,histology,-2.1117379665374756,2.1117379665374756,clinical
primary,Binarized_response,clinical_plus_bio_sbp,cat__histology_others,histology,1.8289936780929565,1.8289936780929565,clinical
primary,Binarized_response,clinical_plus_bio_sbp,cat__smoking_Ex,smoking,-0.5086473822593689,0.5086473822593689,clinical
primary,Binarized_response,clinical_plus_bio_sbp,num__age,age,0.4292929172515869,0.4292929172515869,clinical
primary,Binarized_response,clinical_plus_bio_sbp,num__bio__patient_cd16_score_mean,bio__patient_cd16_score_mean,1.4834553003311157,1.4834553003311157,immune
primary,Binarized_response,clinical_plus_bio_sbp,num__bio__patient_naive_score_mean,bio__patient_naive_score_mean,0.46163129806518555,0.46163129806518555,immune
primary,Binarized_response,clinical_plus_bio_sbp,num__bio__LM_SBP_2part_ilr,bio__LM_SBP_2part_ilr,0.3903225064277649,0.3903225064277649,immune
primary,Binarized_response,clinical_plus_bio_sbp,num__bio__patient_cd14_score_mean,bio__patient_cd14_score_mean,0.3481985926628113,0.3481985926628113,immune
primary,Binarized_response,clinical_plus_bio_sbp,num__bio__CD14_CD16_SBP_2part_ilr,bio__CD14_CD16_SBP_2part_ilr,0.18046371638774872,0.18046371638774872,immune
primary,PFS,clinical_only,cat__egfr_status_Wild-Type,egfr_status,-0.8033108964732911,0.8033108964732911,clinical
primary,PFS,clinical_only,cat__io_line_≥2nd line,io_line,0.7380258881173115,0.7380258881173115,clinical
primary,PFS,clinical_only,cat__sex_M,sex,0.5434487531221021,0.5434487531221021,clinical
primary,PFS,clinical_only,cat__ecog_1,ecog,0.23273178172255254,0.23273178172255254,clinical
primary,PFS,clinical_only,cat__histology_LUSC,histology,0.12525258890075203,0.12525258890075203,clinical
primary,PFS,clinical_only,cat__histology_others,histology,-0.01562173151123892,0.01562173151123892,clinical
primary,PFS,clinical_only,cat__ecog_2,ecog,2.432515701285258e-06,2.432515701285258e-06,clinical
primary,PFS,clinical_only,cat__smoking_Never,smoking,-1.7352600898387868e-06,1.7352600898387868e-06,clinical
primary,PFS,clinical_only,cat__smoking_Ex,smoking,1.341605877035267e-06,1.341605877035267e-06,clinical
primary,PFS,clinical_only,num__age,age,3.775645621627359e-07,3.775645621627359e-07,clinical
