analysis_block,endpoint,feature_set,n_endpoint_patients,roc_auc_mean,roc_auc_sd,auprc_mean,auprc_sd,brier_mean,brier_sd,cindex_mean,cindex_sd
primary,Binarized_response,clinical_only,65,0.6405595238095237,0.16058141620892105,0.6387021127021126,0.15175641818677657,0.25586581167576944,0.06480350510239517,,
primary,PFS,clinical_only,65,,,,,,,0.5795147964588757,0.06577910991153858
primary,PFS_6m_restricted,clinical_only,65,,,,,,,0.5843020370469091,0.1211601937544255
primary,Binarized_response,clinical_plus_bio_sbp,65,0.6362380952380953,0.1457906930779957,0.6495854774854775,0.13564550498822367,0.2738049616814182,0.07487786787172099,,
secondary,Binarized_response,clinical_plus_bio_sbp,65,0.6362380952380953,0.1457906930779957,0.6495854774854775,0.13564550498822367,0.2738049616814182,0.07487786787172099,,
primary,PFS,clinical_plus_bio_sbp,65,,,,,,,0.583816782157542,0.07154160706254444
secondary,PFS,clinical_plus_bio_sbp,65,,,,,,,0.583816782157542,0.07154160706254444
primary,PFS_6m_restricted,clinical_plus_bio_sbp,65,,,,,,,0.5759956078819729,0.12879458476461914
secondary,PFS_6m_restricted,clinical_plus_bio_sbp,65,,,,,,,0.5759956078819729,0.12879458476461914
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,65,0.4754761904761905,0.10641938007501701,0.5102979002479002,0.10738106843391033,0.2814635629454987,0.04696793148089141,,
secondary,PFS,immune_only_bio_sbp_plus_pc,65,,,,,,,0.5415040345369921,0.08213495273479804
secondary,PFS_6m_restricted,immune_only_bio_sbp_plus_pc,65,,,,,,,0.5131814066558921,0.12791772655858805
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,65,0.5601190476190476,0.13283875238019094,0.5689778203278203,0.12632486117251837,0.3282775557149292,0.07389857284124958,,
secondary,PFS,clinical_plus_bio_sbp_plus_pc,65,,,,,,,0.5556323957529461,0.0774914485295649
secondary,PFS_6m_restricted,clinical_plus_bio_sbp_plus_pc,65,,,,,,,0.5364648444629968,0.13290579671898056
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,65,0.6248809523809524,0.1592607396011501,0.6305748732748733,0.1419438064150836,0.2905724936590838,0.09105777189162573,,
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,65,,,,,,,0.6086963386519099,0.07317917004792954
secondary,PFS_6m_restricted,clinical_plus_bio_sbp_with_pd_l1,65,,,,,,,0.5764062302185957,0.1290249313532647
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,65,0.5743095238095239,0.1163056655711746,0.5831895585895586,0.12938058322201149,0.3228993606267073,0.07556822191355567,,
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,65,,,,,,,0.5820827545263313,0.08464790005098598
secondary,PFS_6m_restricted,clinical_plus_bio_sbp_plus_pc_with_pd_l1,65,,,,,,,0.5518036738948403,0.11978567361937
